,quarter,시장구분,종목명,btin
57577,2,KOSDAQ,윈팩,반도체 제조업
57583,4,KOSDAQ,윈팩,반도체 제조업
57590,1,KOSDAQ,윈팩,반도체 제조업
57633,1,KOSPI,CJ제일제당,기타 식품 제조업
57638,4,KOSPI,CJ제일제당,기타 식품 제조업
57640,3,KOSPI,CJ제일제당,기타 식품 제조업
57642,3,KOSDAQ,마이크로컨텍솔,전자부품 제조업
57688,1,KOSDAQ,마이크로컨텍솔,전자부품 제조업
57700,2,KOSDAQ,마이크로컨텍솔,전자부품 제조업
57799,1,KOSDAQ,고영,특수 목적용 기계 제조업
57800,3,KOSDAQ,고영,특수 목적용 기계 제조업
57801,2,KOSDAQ,고영,특수 목적용 기계 제조업
57802,4,KOSDAQ,고영,특수 목적용 기계 제조업
57804,4,KOSDAQ,에스티오,봉제의복 제조업
57805,3,KOSDAQ,에스티오,봉제의복 제조업
57806,2,KOSDAQ,아이센스,의료용 기기 제조업
57809,1,KOSDAQ,아이센스,의료용 기기 제조업
57811,3,KOSDAQ,쎄트렉아이,"항공기,우주선 및 부품 제조업"
57812,1,KOSDAQ,쎄트렉아이,"항공기,우주선 및 부품 제조업"
57813,4,KOSDAQ,쎄트렉아이,"항공기,우주선 및 부품 제조업"
57815,1,KOSDAQ,스맥,특수 목적용 기계 제조업
57817,2,KOSDAQ,스맥,특수 목적용 기계 제조업
57818,3,KOSDAQ,스맥,특수 목적용 기계 제조업
57832,3,KOSDAQ,모바일리더,소프트웨어 개발 및 공급업
57855,4,KOSDAQ,모바일리더,소프트웨어 개발 및 공급업
